Original	Simplified	G	S	M	Overall
A 21-year-old woman who was seriously injured in a shooting incident in Co Derry yesterday remains in a critical condition at Belfast's Royal Victoria Hospital.	A 21-year-old woman was seriously injured in a shooting incident in Co Derry yesterday.	good	good	ok	ok
A 21-year-old woman who was seriously injured in a shooting incident in Co Derry yesterday remains in a critical condition at Belfast's Royal Victoria Hospital.	A 21-year-old woman was seriously injured in a shooting incident in Co Derry yesterday.	good	good	ok	ok
A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.	A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy .	good	ok	good	ok
A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.	A 26-year-old man is being questioned by detectives in a small village.	good	good	bad	bad
A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.	A 26-year-old man is being questioned by detectives in a small village.	good	ok	ok	ok
A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.	A 26-year-old man is being questioned by detectives the murder the 18-year-old and the serious wounding her sister in a small village.	bad	good	ok	ok
A 26-year-old man, who was arrested on suspicion of murder, remains in custody assisting police with their inquiries.	A 26-year-old man ,remains in custody assisting police with their inquiries .	good	ok	ok	ok
A 26-year-old man, who was arrested on suspicion of murder, remains in custody assisting police with their inquiries.	A 26-year-old man was arrested on suspicion. Custody assisted police with their inquiries.	bad	bad	ok	bad
A 26-year-old man, who was arrested on suspicion of murder, remains in custody assisting police with their inquiries.	A 26-year-old man was arrested on suspicion. Custody assisted police with their inquiries.	good	good	bad	bad
A 26-year-old man, who was arrested on suspicion of murder, remains in custody assisting police with their inquiries.	A 26-year-old man was arrested on suspicion murder custody assisting police with their inquiries.	bad	good	ok	ok
A 32-year-old is recovering after he was shot in the chest and arm by a gunman in the Ballyfermot area of Dublin last night.	A 32-year-old is recovering .	good	good	bad	bad
A 32-year-old is recovering after he was shot in the chest and arm by a gunman in the Ballyfermot area of Dublin last night.	A 32-year-old is recovering after he was shot in the chest and arm by a gunman last night.	good	ok	good	ok
A 32-year-old is recovering after he was shot in the chest and arm by a gunman in the Ballyfermot area of Dublin last night.	A 32-year-old is recovering in the chest and arm last night. A 32-year-old was shot in the chest and arm by a gunman last night.	ok	ok	ok	ok
A 32-year-old is recovering after he was shot in the chest and arm by a gunman in the Ballyfermot area of Dublin last night.	A 32-year-old is recovering in the chest and arm last night. He was shot in the chest and arm by a gunman last night.	bad	bad	ok	bad
Airport officials say that Israel's ambassador to Egypt has returned to Cairo after he and other embassy staffers fled on military planes when thousands of angry Egyptians attacked the embassy in September.	Airport officials say and other embassy staffers fled on military planes .	bad	ok	bad	bad
Airport officials say that Israel's ambassador to Egypt has returned to Cairo after he and other embassy staffers fled on military planes when thousands of angry Egyptians attacked the embassy in September.	Airport officials say Israel 's ambassador to Egypt has returned to Cairo after he and other embassy staffers fled on military planes thousands attacked the embassy in September.	ok	ok	ok	ok
Airport officials say that Israel's ambassador to Egypt has returned to Cairo after he and other embassy staffers fled on military planes when thousands of angry Egyptians attacked the embassy in September.	Israel 's ambassador to Egypt has returned to Cairo. Israel 's ambassador and other embassy staffers fled on military planes in September. Thousands attacked the embassy in September.	good	ok	bad	bad
All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	All three were arrested in the Toome area. All three have been taken to the Serious Crime Suite at Antrim police station.	good	good	good	good
All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	All three were arrested in the Toome area. All three have been taken to the Serious Crime Suite at Antrim police station.	good	good	good	good
All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	good	good	good	good
All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station .	good	ok	good	ok
Although Sunday's election results signal that Putin's return to the presidency in next March's election may not be as easy as he expected, he has downplayed the reduced majority.	He has downplayed the reduced majority.	good	good	good	good
Although Sunday's election results signal that Putin's return to the presidency in next March's election may not be as easy as he expected, he has downplayed the reduced majority.	,he has downplayed the reduced majority .	good	ok	bad	bad
Although Sunday's election results signal that Putin's return to the presidency in next March's election may not be as easy as he expected, he has downplayed the reduced majority.	Putin has downplayed the reduced majority.	good	good	good	good
Although Sunday's election results signal that Putin's return to the presidency in next March's election may not be as easy as he expected, he has downplayed the reduced majority.	Sunday 's election results signal Putin 's return to the presidency in next March 's election, he has downplayed the reduced majority.	bad	bad	bad	bad
A man is being treated at Tallaght hospital after he drove himself to a prison for help after he was injured in the attack.	A man is being treated at Tallaght hospital .	good	good	bad	bad
A man is being treated at Tallaght hospital after he drove himself to a prison for help after he was injured in the attack.	A man is being treated at Tallaght hospital. A man was injured in the attack.	good	good	good	good
A man is being treated at Tallaght hospital after he drove himself to a prison for help after he was injured in the attack.	A man is being treated at Tallaght hospital he drove himself to a prison after he was injured in the attack.	ok	good	ok	ok
A man is being treated at Tallaght hospital after he drove himself to a prison for help after he was injured in the attack.	A man is being treated at Tallaght hospital. He was injured in the attack.	good	good	good	good
Anti-Putin demonstrators take to streets as preliminary results indicate his United Russia party won less than 50% of votes. Thousands of security forces have been patrolling Moscow while helicopters roam the sky amid protests over scandal-hit elections that saw Vladimir Putin's party struggle to keep a majority.	Anti-Putin demonstrators take to streets .	good	good	bad	bad
Anti-Putin demonstrators take to streets as preliminary results indicate his United Russia party won less than 50% of votes. Thousands of security forces have been patrolling Moscow while helicopters roam the sky amid protests over scandal-hit elections that saw Vladimir Putin's party struggle to keep a majority.	Anti-Putin demonstrators take to streets. His United Russia party won. Helicopters roam the sky amid protests. Scandal-hit elections saw Putin 's party struggle.	good	good	bad	bad
Anti-Putin demonstrators take to streets as preliminary results indicate his United Russia party won less than 50% of votes. Thousands of security forces have been patrolling Moscow while helicopters roam the sky amid protests over scandal-hit elections that saw Vladimir Putin's party struggle to keep a majority.	Anti-Putin demonstrators take to streets. His United Russia party won. helicopters roam the sky amid protests. Scandal-hit elections saw Putin 's party struggle.	good	good	bad	bad
Anti-Putin demonstrators take to streets as preliminary results indicate his United Russia party won less than 50% of votes. Thousands of security forces have been patrolling Moscow while helicopters roam the sky amid protests over scandal-hit elections that saw Vladimir Putin's party struggle to keep a majority.	Anti-Putin demonstrators take to streets preliminary results indicate his United Russia party won have been patrolling helicopters roam the sky amid protests over scandal-hit elections that saw Putin 's party struggle to keep a majority.	bad	bad	bad	bad
As a SWAT team arrived, officers heard gunshots inside.	A SWAT team arrived. Officers heard gunshots.	good	good	good	good
As a SWAT team arrived, officers heard gunshots inside.	A SWAT team arrived. Officers heard gunshots.	good	good	ok	ok
As a SWAT team arrived, officers heard gunshots inside.	A SWAT team arrived, officers heard gunshots.	good	good	ok	ok
As a SWAT team arrived, officers heard gunshots inside.	,officers heard gunshots inside .	good	good	ok	ok
Assembly Deputy First Minister Martin McGuinness said he had visited the women's family over the weekend. He said the family was in deep shock and had appealed to the media to respect their privacy.	Assembly Deputy First Minister Martin McGuinness said he had visited women 's family over the weekend. He said and had appealed to the media.	ok	ok	ok	ok
Assembly Deputy First Minister Martin McGuinness said he had visited the women's family over the weekend. He said the family was in deep shock and had appealed to the media to respect their privacy.	Assembly Deputy First Minister Martin McGuinness said . He said and had appealed to the media to respect their privacy .	bad	bad	bad	bad
Assembly Deputy First Minister Martin McGuinness said he had visited the women's family over the weekend. He said the family was in deep shock and had appealed to the media to respect their privacy.	He had visited women 's family over the weekend. He had appealed to the media.	good	good	ok	ok
Assembly Deputy First Minister Martin McGuinness said he had visited the women's family over the weekend. He said the family was in deep shock and had appealed to the media to respect their privacy.	Minister Martin McGuinness had visited women 's family over the weekend. Minister Martin McGuinness had appealed to the media.	good	ok	ok	ok
As that debate raged, the president, acting as commander in chief, landed in Afghanistan on Tuesday afternoon for an unannounced visit to the war zone. There, he signed a new security agreement with President Hamid Karzai that outlines a partnership between the two countries that will continue after U.S. combat forces end their mission in 2014.	The president acted as commander. The president landed in Afghanistan on Tuesday afternoon for an unannounced visit. He signed a new security agreement with President Hamid Karzai. President Hamid Karzai outlines a partnership. U.S. combat forces end their mission in 2014.	good	ok	bad	bad
As that debate raged, the president, acting as commander in chief, landed in Afghanistan on Tuesday afternoon for an unannounced visit to the war zone. There, he signed a new security agreement with President Hamid Karzai that outlines a partnership between the two countries that will continue after U.S. combat forces end their mission in 2014.	The president acted as commander. The president landed in Afghanistan on Tuesday afternoon for an unannounced visit. The president signed a new security agreement with President Hamid Karzai. President Hamid Karzai outlines a partnership. U.S. combat forces end their mission in 2014.	good	good	ok	ok
As that debate raged, the president, acting as commander in chief, landed in Afghanistan on Tuesday afternoon for an unannounced visit to the war zone. There, he signed a new security agreement with President Hamid Karzai that outlines a partnership between the two countries that will continue after U.S. combat forces end their mission in 2014.	The president ,acting as commander in chief ,landed in Afghanistan on Tuesday afternoon for an unannounced visit to the war zone. There ,he signed a new security agreement with President Hamid Karzai .	good	good	good	good
As that debate raged, the president, acting as commander in chief, landed in Afghanistan on Tuesday afternoon for an unannounced visit to the war zone. There, he signed a new security agreement with President Hamid Karzai that outlines a partnership between the two countries that will continue after U.S. combat forces end their mission in 2014.	The president, acting as commander, landed in Afghanistan on Tuesday afternoon for an unannounced visit the war zone. He signed a new security agreement with President Hamid Karzai outlines a partnership U.S. combat forces end their mission in 2014.	bad	ok	ok	ok
A suicide attacker detonated a bomb at the gates of a compound used by foreigners in Kabul, Afghanistan, Wednesday, killing seven Afghans, officials said.	A suicide attacker detonated a bomb at the gates. A compound used by foreigners Wednesday. A suicide attacker killed seven Afghans.	ok	good	ok	ok
A suicide attacker detonated a bomb at the gates of a compound used by foreigners in Kabul, Afghanistan, Wednesday, killing seven Afghans, officials said.	A suicide attacker detonated a bomb at the gates. A compound used by foreigners Wednesday. A suicide attacker killed seven Afghans.	ok	ok	ok	ok
A suicide attacker detonated a bomb at the gates of a compound used by foreigners in Kabul, Afghanistan, Wednesday, killing seven Afghans, officials said.	A suicide attacker detonated a bomb at the gates a compound used by foreigners, Wednesday, killing seven Afghans.	ok	good	ok	ok
A suicide attacker detonated a bomb at the gates of a compound used by foreigners in Kabul, Afghanistan, Wednesday, killing seven Afghans, officials said.	A suicide attacker detonated a bomb at the gates of a compound used by foreigners in Kabul ,Afghanistan ,Wednesday.	good	ok	ok	ok
Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.	At least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.	good	ok	good	ok
Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.	Authorities said Tuesday .	bad	bad	bad	bad
Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.	Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.	good	ok	good	ok
Baset al-Megrahi, the Libyan intelligence officer who was convicted in the 1988 Lockerbie bombing has died at his home in Tripoli, nearly three years after he was released from a Scottish prison. Al-Megrahi was released on Aug. 20, 2009, on compassionate grounds in order for him return home to die after he was diagnosed with prostate cancer.	Baset al-Megrahi has died at his home. Baset al-Megrahi was released from a Scottish prison.Al-Megrahi. The Libyan intelligence officer was convicted in the 1988 Lockerbie bombing. He was diagnosed with prostate cancer.	ok	ok	ok	ok
Baset al-Megrahi, the Libyan intelligence officer who was convicted in the 1988 Lockerbie bombing has died at his home in Tripoli, nearly three years after he was released from a Scottish prison. Al-Megrahi was released on Aug. 20, 2009, on compassionate grounds in order for him return home to die after he was diagnosed with prostate cancer.	Baset al-Megrahi has died at his home. Baset al-Megrahi was released from a Scottish prison. The Libyan intelligence officer was convicted in the 1988 Lockerbie bombing. Al-Megrahi was diagnosed with prostate cancer.	good	good	ok	ok
Baset al-Megrahi, the Libyan intelligence officer who was convicted in the 1988 Lockerbie bombing has died at his home in Tripoli, nearly three years after he was released from a Scottish prison. Al-Megrahi was released on Aug. 20, 2009, on compassionate grounds in order for him return home to die after he was diagnosed with prostate cancer.	Baset al-Megrahi ,the Libyan intelligence officer has died at his home in Tripoli.	good	ok	ok	ok
Baset al-Megrahi, the Libyan intelligence officer who was convicted in the 1988 Lockerbie bombing has died at his home in Tripoli, nearly three years after he was released from a Scottish prison. Al-Megrahi was released on Aug. 20, 2009, on compassionate grounds in order for him return home to die after he was diagnosed with prostate cancer.	Baset al-Megrahi, the Libyan intelligence officer was convicted in the 1988 Lockerbie bombing has died at his home after he was released from a Scottish prison.Al-Megrahi was released on Aug. 20, 2009 after he was diagnosed with prostate cancer.	good	good	good	good
Bellaghy parish priest Fr Andrew Dolan said the teenager died trying to protect her sister	Bellaghy parish priest Fr Andrew Dolan said .	bad	bad	bad	bad
Bellaghy parish priest Fr Andrew Dolan said the teenager died trying to protect her sister	The teenager died trying to protect her sister. Lauren in the process lost her own life.	good	good	good	good
Bellaghy parish priest Fr Andrew Dolan said the teenager died trying to protect her sister: "When Brenda was under attack, she dived in to save her and in the process lost her own life.	Bellaghy parish priest Fr Andrew Dolan said the teenager died trying to protect, she dived to save her and in the process lost her own life.	ok	ok	good	ok
Bellaghy parish priest Fr Andrew Dolan said the teenager died trying to protect her sister: "When Brenda was under attack, she dived in to save her and in the process lost her own life.	The teenager died trying to protect her sister. She in the process lost her own life.	ok	ok	good	ok
But opposition parties and international observers said the vote was marred by vote-rigging, including alleged ballot-box stuffing and false voter rolls.	But opposition parties and international observers said .	bad	good	bad	bad
But opposition parties and international observers said the vote was marred by vote-rigging, including alleged ballot-box stuffing and false voter rolls.	Opposition parties and international observers said the vote was marred by vote-rigging, alleged ballot-box stuffing and false voter rolls.	good	ok	good	ok
But opposition parties and international observers said the vote was marred by vote-rigging, including alleged ballot-box stuffing and false voter rolls.	The vote was marred by vote-rigging alleged ballot-box stuffing and false voter rolls.	good	good	good	good
But opposition parties and international observers said the vote was marred by vote-rigging, including alleged ballot-box stuffing and false voter rolls.	The vote was marred by vote-rigging, alleged ballot-box stuffing and false voter rolls.	good	ok	good	ok
But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.	But pro-Kremlin supporters also staged two large protests in Moscow .	good	good	ok	ok
But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.	pro-Kremlin supporters staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.	good	good	good	good
But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.	pro-Kremlin supporters staged two large protests in Moscow. two large protests attracted thousands. Protests highlighted political divisions in Russian society.	good	ok	good	ok
But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.	Pro-Kremlin supporters staged two large protests in Moscow. Two large protests attracted thousands. Protests highlighted political divisions in Russian society.	good	good	good	good
Del Rosario said that he warned China's ambassador that "if the Philippines is challenged, we are prepared to secure our sovereignty."	Del Rosario said .''	bad	bad	bad	bad
Del Rosario said that he warned China's ambassador that "if the Philippines is challenged, we are prepared to secure our sovereignty."	Del Rosario said he warned China 's ambassador, we are prepared to secure.	bad	ok	bad	bad
Del Rosario said that he warned China's ambassador that "if the Philippines is challenged, we are prepared to secure our sovereignty."	He warned China 's ambassador.	good	good	ok	ok
Del Rosario said that he warned China's ambassador that "if the Philippines is challenged, we are prepared to secure our sovereignty.	Philippine Foreign Secretary Albert Del Rosario warned China 's ambassador.	good	good	ok	ok
Deputies said the mother, identified as Tonya Thomas, 33, sent a warning text message to a friend before the shootings, but the friend didn't see the text until later.	Deputies said ,but the friend did n't see the text until later .	bad	bad	bad	bad
Deputies said the mother, identified as Tonya Thomas, 33, sent a warning text message to a friend before the shootings, but the friend didn't see the text until later.	Deputies said the mother, sent a warning text message to a friend before the shootings.	good	good	ok	ok
Deputies said the mother, identified as Tonya Thomas, 33, sent a warning text message to a friend before the shootings, but the friend didn't see the text until later.	The mother sent a warning text message to a friend before the shootings.	good	good	good	good
Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing, the TV network said.	Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing.	good	good	good	good
Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing, the TV network said.	Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing.	good	good	good	good
Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing, the TV network said.	Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing.	good	good	good	good
Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing, the TV network said.	Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing ,the TV network said .	good	bad	good	bad
For years the former Bosnia Serb army commander Ratko Mladic had evaded capture and was one of the world's most wanted men, but his time on the run finally ended last year when he was arrested near Belgrade.	For years he had evaded. His time ended last year near Belgrade. He was arrested near Belgrade.	ok	ok	bad	bad
For years the former Bosnia Serb army commander Ratko Mladic had evaded capture and was one of the world's most wanted men, but his time on the run finally ended last year when he was arrested near Belgrade.	For years the former Bosnia Serb army commander Ratko Mladic had evaded but his time the run ended last year he was arrested near Belgrade.	bad	good	ok	ok
For years the former Bosnia Serb army commander Ratko Mladic had evaded capture and was one of the world's most wanted men, but his time on the run finally ended last year when he was arrested near Belgrade.	For years the former Bosnia Serb army commander Ratko Mladic had evaded capture.	good	ok	bad	bad
For years the former Bosnia Serb army commander Ratko Mladic had evaded capture and was one of the world's most wanted men, but his time on the run finally ended last year when he was arrested near Belgrade.	For years the former Bosnia Serb army commander Ratko Mladic had evaded. His time ended last year near Belgrade. The former Bosnia Serb army commander Ratko Mladic was arrested near Belgrade.	ok	good	good	ok
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	Her older sister ,aged 21 ,lived at the rented house ,in a recently built development at the back of the established housing estate .	good	bad	good	bad
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	Her older sister lived at the rented house in a recently built development.	good	good	good	good
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	Her older sister lived at the rented house in a recently built development.	good	good	good	good
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	Her older sister, lived at the rented house, in a recently built development at the back the established housing estate.	good	ok	good	ok
Her sister, Lauren O'Neill, 18, was killed in the gun attack at a house in William Court, Bellaghy yesterday morning.	Her sister ,Lauren O'Neill ,18 ,was killed in the gun attack at a house in William Court ,Bellaghy yesterday morning .	good	bad	good	bad
Her sister, Lauren O'Neill, 18, was killed in the gun attack at a house in William Court, Bellaghy yesterday morning.	Her sister was killed in the gun attack at a house Bellaghy yesterday morning.	good	good	good	good
Her sister, Lauren O'Neill, 18, was killed in the gun attack at a house in William Court, Bellaghy yesterday morning.	Her sister was killed in the gun attack at a house Bellaghy yesterday morning.	good	good	ok	ok
Her sister, Lauren O'Neill, 18, was killed in the gun attack at a house in William Court, Bellaghy yesterday morning.	Her sister, was killed in the gun attack at a house, Bellaghy yesterday morning.	ok	good	good	ok
He then gave a speech broadcast to Americans back home, before ending his lightning visit just before 4:30 a.m. The U.S. president, who is in the midst of a re-election campaign, touted the Navy SEAL raid that killed bin Laden a year ago Wednesday, noting that the operation was launched from a base in Afghanistan.	He gave a speech broadcast to Americans back home ending his lightning visit the Navy SEAL raid that, noting the operation was launched from a base.	ok	ok	bad	bad
He then gave a speech broadcast to Americans back home, before ending his lightning visit just before 4	He gave a speech broadcast to Americans back home. He ended his lightning visit. The operation was launched from a base.	good	good	good	good
He then gave a speech broadcast to Americans back home, before ending his lightning visit just before 4	He then gave a speech broadcast to Americans back home ,before ending his lightning visit .	good	ok	good	ok
He then gave a speech broadcast to Americans back home, before ending his lightning visit just before 4	President Barack Obama gave a speech broadcast to Americans back home. President Barack Obama ended his lightning visit. The operation was launched from a base.	good	good	good	good
Hundreds of protesters have been detained in both cities.	Hundreds have been detained in both cities.	good	good	ok	ok
Hundreds of protesters have been detained in both cities.	Hundreds have been detained in both cities.	good	good	ok	ok
Hundreds of protesters have been detained in both cities.	Hundreds have been detained in both cities.	good	good	ok	ok
Hundreds of protesters have been detained in both cities.	Hundreds of protesters have been detained in both cities .	good	good	good	good
In announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said it will "enable us to better protect Android from anti-competitive threats from Microsoft, Apple and other companies."	Announced the Motorola Mobility acquisition in August.	ok	good	ok	ok
In announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said it will "enable us to better protect Android from anti-competitive threats from Microsoft, Apple and other companies."	Announced the Motorola Mobility acquisition in August.	ok	good	ok	ok
In announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said it will "enable us to better protect Android from anti-competitive threats from Microsoft, Apple and other companies."	Announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said.	bad	good	ok	ok
In announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said it will "enable us to better protect Android from anti-competitive threats from Microsoft, Apple and other companies."	In announcing the Motorola Mobility acquisition in August ,Google chief executive Larry Page said .''	ok	bad	ok	bad
Israel's ambassador to Cairo has travelled to Egypt for the first time since he and his staff were evacuated from the country in September after protesters stormed the Israeli embassy, a Foreign Ministry official said on Sunday.	His staff were evacuated from the country in September. Protesters stormed the Israeli embassy.	good	good	ok	ok
Israel's ambassador to Cairo has travelled to Egypt for the first time since he and his staff were evacuated from the country in September after protesters stormed the Israeli embassy, a Foreign Ministry official said on Sunday.	His staff were evacuated from the country in September protesters stormed the Israeli embassy, a Foreign Ministry official said on Sunday.	bad	ok	ok	ok
Israel's ambassador to Cairo has travelled to Egypt for the first time since he and his staff were evacuated from the country in September after protesters stormed the Israeli embassy, a Foreign Ministry official said on Sunday.	Israel 's ambassador staff were evacuated from the country in September. Protesters stormed the Israeli embassy.	good	good	ok	ok
Israel's ambassador to Cairo has travelled to Egypt for the first time since he and his staff were evacuated from the country in September after protesters stormed the Israeli embassy, a Foreign Ministry official said on Sunday.	Israel 's ambassador to Cairo has traveled to Egypt for the first time since he and his staff were evacuated from the country in September ,a Foreign Ministry official said on Sunday .	good	ok	good	ok
Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP.	Israel 's ambassador to Egypt, returned to Cairo on Sunday after he was evacuated in September an attack on the embassy, an airport official told AFP.	ok	bad	ok	bad
Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP.	Israel 's ambassador to Egypt returned to Cairo on Sunday. He was evacuated in September.	good	good	ok	ok
Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP.	Israel 's ambassador to Egypt returned to Cairo on Sunday. Yitzhak Levanon was evacuated in September.	good	good	ok	ok
Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP.	Israel 's ambassador to Egypt ,Yitzhak Levanon ,returned to Cairo on Sunday ,an airport official told AFP .	good	ok	ok	ok
It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting.	It is understood ,and was visiting her older sister at the time of the shooting .	bad	bad	bad	bad
It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting.	the dead girl had been living at her family home, in a neighbouring housing estate and was visiting her older sister.	good	good	good	good
It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting.	The dead girl had been living at her family home in a neighbouring housing estate. Was visiting her older sister.	good	good	good	good
It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting.	The dead girl had been living at her family home in a neighbouring housing estate. Was visiting her older sister.	ok	ok	good	ok
Joel Elliott, also 22, of North Road, Brighton, was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8 but did not enter a plea.	Joel Elliott ,also 22 ,of North Road ,Brighton ,was charged on May 3 with murder . He appeared at Lewes Crown Court on May 8.	good	bad	ok	bad
Joel Elliott, also 22, of North Road, Brighton, was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8 but did not enter a plea.	Joel Elliott was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8.	good	good	ok	ok
Joel Elliott, also 22, of North Road, Brighton, was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8 but did not enter a plea.	Joel Elliott was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8.	good	good	ok	ok
Joel Elliott, also 22, of North Road, Brighton, was charged on May 3 with murder. He appeared at Lewes Crown Court on May 8 but did not enter a plea.	Joel Elliott was charged on May 3 with murder. Joel Elliott appeared at Lewes Crown Court on May 8.	good	good	good	good
Mladic reportedly gave a thumbs-up and clapped to supporters in the court's public gallery as the trial got under way.	Mladic gave a thumbs-up and clapped to supporters the trial got under way.	ok	good	ok	ok
Mladic reportedly gave a thumbs-up and clapped to supporters in the court's public gallery as the trial got under way.	Mladic gave a thumbs-up. Mladic clapped to supporters. The trial got under way.	ok	ok	ok	ok
Mladic reportedly gave a thumbs-up and clapped to supporters in the court's public gallery as the trial got under way.	Mladic gave a thumbs-up. Mladic to clapped supporters. The trial got under way.	ok	ok	ok	ok
Mladic reportedly gave a thumbs-up and clapped to supporters in the court's public gallery as the trial got under way.	Mladic reportedly gave a thumbs-up and clapped to supporters in the court 's public gallery .	good	good	good	good
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan .	good	good	ok	ok
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan .	good	good	ok	ok
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan in 2001. The Taliban rulers were ousted in 2001.	good	good	bad	bad
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan in 2001. The Taliban rulers were ousted in 2001.	good	good	ok	ok
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan in 2001. The Taliban rulers were ousted in 2001.	good	good	ok	ok
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan in 2001. The Taliban rulers were ousted in 2001.	good	ok	bad	bad
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	good	good	good	good
Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.	good	good	good	good
